WBS,阶段,周,任务,关键交付,依赖,Owner,优先级,验收标准,Gate
1.1,Foundation,W1,FGAIM项目启动与治理,项目章程/RACI/评审机制,无,PM/架构,P0,Owner和Gate明确,G0
1.2,Foundation,W1-W2,现有产品/服务/SOP盘点,Current State Blueprint,1.1,产品/交付,P0,核心资产覆盖≥95%,G0
1.3,Foundation,W1-W2,现有系统与数据盘点,System/Data Inventory,1.1,架构/数据,P0,系统、表、接口、Owner明确,G0
1.4,Foundation,W2-W3,Family ID与身份模型,Identity Spec,1.2/1.3,数据/后端,P0,Family/Parent/Child规则确认,G1
1.5,Foundation,W2-W4,Ontology V1冻结,Domain Spec V1,1.2,Ontology Lead,P0,Object/Link/Action评审通过,G1
1.6,Foundation,W2-W4,24维Growth Model确认,Growth Dimension Spec,1.5,教研/产品,P0,维度定义和可观察信号确认,G1
1.7,Foundation,W3-W4,Outcome V1,Outcome Framework,1.6,教研/数据科学,P0,每个重点维度有Outcome定义,G1
1.8,Foundation,W3-W4,Consent/Safety V1,Consent+Safety Spec,1.4,安全/法务,P0,Purpose/Guardian/Safety Gate明确,G2
1.9,Foundation,W3-W4,Intervention Registry首批,20-30 Intervention Cards,1.6,教研,P0,每条有Dimension/Action/Outcome,G1
2.1,Family Core,W5,工程Repo与CI建立,Repo/CI/Env,1.5,Tech Lead,P0,DEV/TEST环境运行,G1
2.2,Family Core,W5-W6,Family Account模块,Create/Read Family,1.4/2.1,Backend,P0,家庭账户可创建读取,G2
2.3,Family Core,W5-W6,Parent/Child/Relationship,成员与关系模块,2.2,Backend,P0,关系完整可追溯,G2
2.4,Family Core,W5-W7,历史客户映射规则,Migration Rules,1.3/2.2,Data,P0,样本迁移校验通过,G2
2.5,Family Core,W6-W8,Growth Onboarding,对话/测评入口,1.6/2.2,Product/FE/BE,P0,可创建初始Evidence,G2
2.6,Family Core,W6-W8,GrowthProfile Engine V1,3类Profile,2.5/1.7,Backend/AI,P0,三Profile并列输出,G2
2.7,Family Core,W7-W8,Family Timeline V0,历史服务/成长时间线,2.2/2.4,Backend/FE,P1,历史数据可展示来源,G2
2.8,Family Core,W7-W8,CRM/LMS/Order适配器,Integration Adapters,1.3,Platform,P0,关键数据可同步,G2
3.1,Vertical Slice,W9,Growth Priority,Priority决策,2.6,Backend/AI,P0,最多2×3优先项,G3
3.2,Vertical Slice,W9-W10,90-Day Journey Engine,四阶段Journey,3.1,Backend,P0,状态转换可审计,G3
3.3,Vertical Slice,W9-W10,Intervention Selection,Intervention匹配,1.9/3.1,Domain/AI,P0,推荐保留Evidence,G3
3.4,Vertical Slice,W10-W11,GrowthAction,Action assign/complete,3.2/3.3,Backend/FE,P0,Named Action完成,G3
3.5,Vertical Slice,W10-W11,GrowthEvent/Perspective,Event/Perspective,3.4,Backend,P0,Fact/Perspective分离,G3
3.6,Vertical Slice,W11-W12,Milestone,Milestone确认,3.5,Backend/FE,P0,有Evidence/确认机制,G3
3.7,Vertical Slice,W11-W12,Outcome,Outcome measure,1.7/3.5,Data/Backend,P0,baseline/current/source完整,G3
3.8,Vertical Slice,W11-W13,Family Growth Home,首页,2.6/3.2/3.6,FE/Product,P0,三线+今日+Journey+Milestone,G3
3.9,Vertical Slice,W12-W13,Parent Second Growth页面,家长成长体验,2.6/3.4,FE/Product,P0,家长一等产品体现,G3
3.10,Vertical Slice,W13,端到端验收,Vertical Slice Demo,3.1-3.9,全体,P0,Profile→Outcome完整演示,G3
4.1,AI & Knowledge,W13-W14,Model Gateway,多模型统一入口,2.1,AI/Backend,P0,版本/成本/审计可追踪,G4
4.2,AI & Knowledge,W13-W15,Knowledge Foundry V1,自有内容→KnowledgeCard,1.9,AI/教研,P0,首批知识通过Review,G4
4.3,AI & Knowledge,W14-W15,Family Companion V1,Agent Card+实现,4.1/3.8,AI,P0,结构化Recommendation,G4
4.4,AI & Knowledge,W14-W16,Parent Growth Companion V1,家长Agent,4.1/3.9,AI,P0,不得直接写Profile,G4
4.5,AI & Knowledge,W15-W16,Growth Planner V1,计划Agent,3.2/4.1,AI,P0,Plan可回溯到Priority,G4
4.6,AI & Knowledge,W15-W16,Human Copilot V1,顾问Copilot,3.5/4.1,AI/交付,P0,家庭优先级/建议可用,G4
4.7,AI & Knowledge,W14-W16,Golden Sets,Professional/Safety/Adv,4.2,Eval Lead,P0,首批≥100 case,G4
4.8,AI & Knowledge,W16-W17,Evaluation Runner,自动回归,4.7,AI/QA,P0,版本变更可回归,G4
4.9,AI & Knowledge,W16-W17,Safety Gate,风险路由,1.8/4.1,Safety/AI,P0,高风险Case正确升级,G4
5.1,Platform/Pilot,W17-W18,Advisor Workbench,顾问工作台,4.6,FE/BE,P0,家庭优先级/Case可操作,G5
5.2,Platform/Pilot,W17-W19,Membership V1,会员/权益整合,2.8,Product/BE,P1,家庭账户可见权益,G5
5.3,Platform/Pilot,W18-W19,Expert Service,专家服务接入,5.1,Service,P1,服务进入Timeline/Outcome,G5
5.4,Platform/Pilot,W18-W20,Community/Activity接入,社群/活动回写,2.8,Ops/Platform,P1,事件进入Family,G5
5.5,Platform/Pilot,W17-W18,Pilot Protocol,试点方案/同意/指标,3.10/4.9,Product/Eval,P0,风险与退出机制完整,G5
5.6,Platform/Pilot,W19-W20,30家庭Pilot,Pilot Batch1,5.5,Ops,P0,数据完整率达阈值,G5
